playerid,yearid,stint,teamid,lgid,g,ab,r,h,b,v11,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp
aaronha01,1959,1,ML1,NL,154,629,116,223,46,7,39,123,8,0,51,54,17,4,0,9,19
adcocjo01,1959,1,ML1,NL,115,404,53,118,19,2,25,76,0,0,32,77,6,0,2,6,8
allisbo01,1959,1,WS1,AL,150,570,83,149,18,9,30,85,13,8,60,92,1,2,5,2,22
aloufe01,1959,1,SFN,NL,95,247,38,68,13,2,10,33,5,3,17,38,1,0,1,3,5
altmage01,1959,1,CHN,NL,135,420,54,103,14,4,12,47,1,0,34,80,4,7,6,1,8
anderha02,1959,1,PHI,NL,142,508,50,122,28,6,14,63,1,1,43,95,14,5,2,3,9
andersp01,1959,1,PHI,NL,152,477,42,104,9,3,0,34,6,9,42,53,1,1,5,2,15
aparilu01,1959,1,CHA,AL,152,612,98,157,18,5,6,51,56,13,53,40,1,3,11,7,11
ashburi01,1959,1,PHI,NL,153,564,86,150,16,2,1,20,9,11,79,42,4,6,7,4,10
asproke01,1959,1,WS1,AL,70,225,31,55,12,0,2,14,2,1,26,39,0,0,3,1,9
baileed01,1959,1,CIN,NL,121,379,43,100,13,0,12,40,2,0,62,53,6,2,4,0,10
bankser01,1959,1,CHN,NL,155,589,97,179,25,6,45,143,2,4,64,72,20,7,2,9,18
bauerha01,1959,1,NYA,AL,114,341,44,81,20,0,9,39,4,2,33,54,1,2,2,2,4
baxesji01,1959,2,CLE,AL,77,247,35,59,11,0,15,34,0,1,21,47,0,0,2,0,12
becquju01,1959,1,WS1,AL,108,220,20,59,12,5,1,26,3,2,8,17,2,1,0,1,9
bellgu01,1959,1,CIN,NL,148,580,59,170,27,2,19,115,2,3,29,44,1,2,1,8,13
berbelo01,1959,1,DET,AL,100,338,38,73,8,2,13,44,0,0,35,59,1,0,0,7,9
berrayo01,1959,1,NYA,AL,131,472,64,134,25,1,19,69,1,2,43,38,5,4,0,2,6
bertore01,1959,1,WS1,AL,90,308,33,73,10,0,8,29,2,5,29,48,3,1,0,3,10
blasido01,1959,1,SLN,NL,150,615,90,178,26,7,1,24,15,15,67,42,2,2,7,0,3
bollifr01,1959,1,DET,AL,127,459,56,122,18,3,13,55,2,2,45,37,2,7,7,2,6
bouched01,1959,1,PHI,NL,136,499,75,142,29,4,15,74,0,4,70,74,4,5,2,5,13
boydbo01,1959,1,BAL,AL,128,415,42,110,20,2,3,41,3,1,29,14,1,1,12,4,12
boyerke01,1959,1,SLN,NL,149,563,86,174,18,5,28,94,12,6,67,77,7,2,0,1,7
brandja01,1959,1,SFN,NL,137,429,63,116,16,5,12,57,11,4,35,69,2,0,5,2,8
bressed01,1959,1,SFN,NL,104,315,36,79,17,2,9,26,0,0,28,55,6,0,6,1,4
bridgro01,1959,1,DET,AL,116,381,38,102,16,3,3,35,1,2,30,35,2,1,5,3,14
brutobi01,1959,1,ML1,NL,133,478,72,138,22,6,6,41,13,5,35,54,2,1,7,1,9
buddido01,1959,1,BOS,AL,151,485,75,117,24,1,10,53,6,1,92,99,0,5,5,2,7
burgesm01,1959,1,PIT,NL,114,377,41,112,28,5,11,59,0,0,31,16,9,2,2,6,10
